market,funding_total_usd,status,country_code,funding_rounds,seed,venture,equity_crowdfunding,private_equity
Mobile,7000000,operating,RUS,2,0,7000000,0,0
Software,6785876,operating,CAN,1,0,6785876,0,0
E-Commerce,60000000,operating,USA,1,0,60000000,0,0
Software,383000,operating,AUS,2,0,0,0,0
Hardware + Software,2941000,operating,USA,3,0,2500000,0,0
Mobile,165000000,operating,NZL,1,0,0,0,0
Clean Technology,474116,operating,GBR,4,0,0,0,0
Software,250000,operating,USA,1,0,0,0,0
Software,275000,operating,USA,1,0,0,0,0
Curated Web,966728,operating,BEL,2,106626,860102,0,0
Software,85000000,acquired,USA,1,0,0,0,85000000
Advertising,6000,operating,USA,1,0,0,6000,0
Software,95875000,operating,USA,6,2275000,93600000,0,0
Biotechnology,78089000,operating,USA,4,0,78089000,0,0
Finance,500000,operating,USA,1,0,0,500000,0
Advertising,25654560,operating,USA,5,750000,24904560,0,0
Biotechnology,1000000,operating,USA,2,0,1000000,0,0
Software,7650000,operating,CAN,1,0,7650000,0,0
Enterprise Software,1623640,operating,CHN,1,0,1623640,0,0
Mobile,2203975,operating,,1,0,0,0,0
Social Media,1573976,operating,CHN,2,0,1573976,0,0
Mobile,1629549,operating,CHN,1,0,0,0,0
Mobile,1600000,operating,USA,1,0,0,0,0
Health and Wellness,3750000,operating,,2,0,3750000,0,0
Biotechnology,133620,operating,ITA,1,0,0,0,0
Biotechnology,1465000,operating,USA,1,1465000,0,0,0
Enterprise Software,28000,operating,USA,1,28000,0,0,0
Games,503000,closed,USA,2,0,503000,0,0
Software,909940,operating,USA,3,0,909940,0,0
Software,169500000,operating,USA,3,0,19500000,0,0
Hardware + Software,150000,operating,USA,1,0,150000,0,0
E-Commerce,400000,operating,USA,1,0,400000,0,0
E-Commerce,1250000,operating,USA,1,0,0,0,0
Software,2670000,operating,RUS,2,1870000,0,0,0
Biotechnology,7436500,operating,USA,2,0,7200000,0,0
Mobile,2065000,operating,IND,2,0,2065000,0,0
Curated Web,475000,operating,,1,0,475000,0,0
Health and Wellness,750000,operating,USA,1,750000,0,0,0
Mobile,1700000,operating,HUN,2,0,1700000,0,0
Mobile,746185,operating,CHN,2,0,746185,0,0
Semiconductors,13708150,closed,CHN,3,0,13708150,0,0
Web Hosting,65000000,acquired,USA,3,0,65000000,0,0
Enterprise Software,5300000,operating,CHN,1,0,5300000,0,0
Biotechnology,4783500,operating,ESP,2,0,4783500,0,0
Software,25920000,operating,USA,4,0,22520000,0,0
Software,1011601,operating,USA,3,50000,961601,0,0
Curated Web,1500000,operating,USA,1,0,1500000,0,0
Clean Technology,50000000,operating,GBR,1,0,0,0,50000000
Curated Web,1500000,operating,CHN,2,0,1000000,0,0
Mobile,1394250,operating,FRA,1,0,1394250,0,0
Biotechnology,390000,operating,USA,3,40000,0,0,0
Software,2000000,operating,USA,1,2000000,0,0,0
Manufacturing,13780000,operating,FRA,1,0,13780000,0,0
Clean Technology,15152514,operating,GBR,1,0,15152514,0,0
Software,1000000,operating,USA,1,1000000,0,0,0
Clean Technology,15000000,acquired,USA,3,0,15000000,0,0
Software,272000,closed,IRL,1,0,272000,0,0
Security,56567194,operating,USA,6,0,53000000,0,0
E-Commerce,2234979,operating,USA,5,25000,1959979,0,0
Enterprise Software,6246800,operating,,2,513200,5733600,0,0
Security,38064570,acquired,USA,4,0,38064570,0,0
Enterprise Software,800000,operating,USA,2,800000,0,0,0
Software,1000000,operating,USA,1,0,1000000,0,0
Web Hosting,2258720,acquired,SWE,1,0,2258720,0,0
Mobile,485610,operating,SWE,2,485610,0,0,0
Biotechnology,37956999,operating,USA,3,0,32956999,0,0
Games,450000,operating,USA,1,0,0,450000,0
Clean Technology,20900,operating,USA,1,20900,0,0,0
Clean Technology,1160000,operating,USA,2,0,0,1160000,0
Mobile,3378975,operating,USA,1,0,0,0,3378975
Advertising,70288000,operating,USA,8,0,64288000,0,0
E-Commerce,500000,operating,JPN,1,500000,0,0,0
Hardware + Software,60000000,operating,USA,4,0,60000000,0,0
Mobile,10000000,operating,,1,0,10000000,0,0
Biotechnology,7000000,operating,USA,1,0,0,0,7000000
Advertising,1121081,operating,GBR,4,1121081,0,0,0
Curated Web,385980,operating,DEU,1,0,0,0,385980
Software,250000,operating,USA,1,0,250000,0,0
Mobile,15000,operating,USA,1,15000,0,0,0
Games,3500000,operating,CHN,1,0,3500000,0,0
Software,440000,operating,USA,2,0,0,0,0
E-Commerce,12900000,acquired,USA,6,1400000,9500000,0,0
Software,27000000,operating,CHN,3,0,27000000,0,0
E-Commerce,9300000,operating,CHN,3,0,9300000,0,0
Health Care,389673,operating,CHN,1,0,0,0,0
Finance,10000000,operating,CHN,2,0,10000000,0,0
E-Commerce,1158814,operating,CHN,2,0,1000000,0,0
Curated Web,10000000,operating,CHN,1,0,10000000,0,0
Education,65100000,operating,CHN,4,0,65100000,0,0
Games,1500000,operating,CHN,2,0,1500000,0,0
Games,1000000,operating,CHN,1,0,1000000,0,0
Software,3000000,operating,,1,0,3000000,0,0
E-Commerce,200000000,operating,CHN,2,0,200000000,0,0
Software,876780000,operating,CHN,6,0,140780000,0,0
Curated Web,10000000,operating,CHN,1,0,10000000,0,0
Software,8000000,operating,USA,1,0,0,0,0
Social Media,15873,operating,GBR,1,15873,0,0,0
Software,50000,operating,USA,1,50000,0,0,0
Games,3987693,acquired,KOR,2,3987693,0,0,0
Social Media,30000,operating,,1,30000,0,0,0
Mobile,7000000,operating,USA,1,0,7000000,0,0
Finance,1300000,acquired,GBR,3,300000,1000000,0,0
Curated Web,100000,operating,USA,1,0,0,0,0
Software,3050000,operating,USA,3,2700000,0,0,0
Web Hosting,2000000,operating,USA,1,0,2000000,0,0
Enterprise Software,25250000,operating,USA,5,0,10700000,0,0
Mobile,1000000,operating,,2,0,1000000,0,0
Finance,3134880,operating,ITA,1,0,3134880,0,0
Software,6700000,acquired,USA,2,0,6700000,0,0
Games,52588928,operating,HKG,2,0,52588928,0,0
Software,23857750,operating,DEU,5,0,23857750,0,0
E-Commerce,6528902,closed,USA,3,3800000,2368902,0,0
Biotechnology,1613014,operating,USA,1,0,1613014,0,0
Games,10000000,operating,USA,1,0,10000000,0,0
Enterprise Software,295000,operating,JPN,1,295000,0,0,0
E-Commerce,3107198,operating,,1,0,3107198,0,0
Curated Web,650000,closed,NZL,1,650000,0,0,0
Manufacturing,1500000,operating,USA,1,0,0,0,0
Clean Technology,11110000,operating,USA,5,0,9400000,0,0
Social Media,47566,operating,GBR,1,0,47566,0,0
Games,1136548,operating,CHN,1,0,0,0,0
Software,460775,operating,USA,2,0,460775,0,0
Games,3989751,operating,CHN,3,0,3989751,0,0
Web Hosting,9850000,operating,USA,4,0,9850000,0,0
Social Media,2100000,closed,CAN,1,0,2100000,0,0
Web Hosting,34000000,operating,CHN,3,0,34000000,0,0
E-Commerce,100000,operating,USA,1,0,100000,0,0
Health and Wellness,5100000,operating,USA,1,0,5100000,0,0
Advertising,140000,operating,GBR,2,140000,0,0,0
Clean Technology,30000000,operating,USA,1,0,30000000,0,0
E-Commerce,15590000,acquired,USA,3,0,15000000,0,0
Mobile,150000,operating,SGP,1,0,0,0,0
Manufacturing,17700000,operating,USA,3,0,15100000,0,0
Mobile,20000000,operating,CHN,1,0,20000000,0,0
Mobile,317460,operating,,1,0,0,0,0
Mobile,30000000,acquired,CHN,1,0,0,0,0
Social Media,4502251,operating,,1,0,0,0,0
Finance,63590263,operating,,1,0,0,0,0
Finance,19790000,operating,CHN,3,0,19790000,0,0
Mobile,1000000,operating,IND,1,1000000,0,0,0
Finance,1380700,,ITA,1,1380700,0,0,0
E-Commerce,20000,operating,IND,1,20000,0,0,0
Manufacturing,7575757,operating,,1,0,0,0,0
Software,210000,operating,IND,3,10000,0,0,0
E-Commerce,9600000,operating,CHN,2,0,9600000,0,0
Advertising,1432051,operating,KOR,3,0,0,0,0
Social Media,2800000,operating,HKG,2,2800000,0,0,0
Software,900000,operating,USA,1,900000,0,0,0
Enterprise Software,925000,operating,USA,2,500000,0,0,0
Software,435400,operating,USA,1,0,0,0,0
Games,100000000,operating,CHN,1,0,0,0,100000000
Security,450000,operating,ISR,1,450000,0,0,0
Games,560248,operating,,1,0,560248,0,0
E-Commerce,50000,operating,USA,1,50000,0,0,0
Health and Wellness,500000,operating,USA,1,0,500000,0,0
Mobile,7550000,operating,USA,2,0,7550000,0,0
Finance,6410000,operating,IND,1,0,6410000,0,0
Software,15000,closed,,1,15000,0,0,0
Biotechnology,2100002,operating,USA,2,0,2100002,0,0
Clean Technology,115837966,operating,GBR,1,0,0,0,115837966
Biotechnology,3000000,acquired,USA,1,0,3000000,0,0
Clean Technology,10200000,,CHN,1,0,10200000,0,0
Health and Wellness,250000,operating,USA,1,0,250000,0,0
E-Commerce,10000000,operating,USA,1,0,10000000,0,0
Biotechnology,32142818,operating,USA,2,0,32142818,0,0
Advertising,25000000,operating,USA,1,0,25000000,0,0
Curated Web,1623640,operating,CHN,2,0,1623640,0,0
Mobile,16474,operating,CHN,1,0,0,0,0
Biotechnology,20000000,operating,USA,1,0,0,0,20000000
Biotechnology,500000,closed,USA,1,0,0,0,0
Biotechnology,40000000,operating,USA,1,0,40000000,0,0
Social Media,151022,operating,BRA,2,151022,0,0,0
Mobile,4260000,operating,FIN,1,0,4260000,0,0
Finance,4900000,operating,NGA,1,0,0,0,0
Analytics,1412834,operating,FRA,1,1412834,0,0,0
Education,3356695,operating,ESP,1,0,3356695,0,0
Analytics,500000,acquired,USA,1,0,500000,0,0
Software,3409315,operating,GBR,1,0,0,0,3409315
Software,3500000,operating,USA,1,3500000,0,0,0
Clean Technology,4211031,operating,USA,6,2781795,1276036,0,0
Biotechnology,400988,operating,CAN,3,20014,380974,0,0
Software,1770000,acquired,FRA,1,0,1770000,0,0
Software,4540000,operating,DEU,1,0,4540000,0,0
Curated Web,4400000,operating,USA,2,0,4100000,0,0
E-Commerce,875000,operating,USA,5,775000,0,0,0
Health and Wellness,6790000,operating,USA,2,0,0,0,0
Advertising,25000,closed,IND,1,0,0,0,0
Social Media,147000,operating,CRI,1,147000,0,0,0
Biotechnology,2000000,operating,CAN,1,0,2000000,0,0
Biotechnology,805908,operating,GBR,1,0,0,0,0
Biotechnology,1622347,operating,GBR,1,0,0,0,0
E-Commerce,19148000,operating,USA,5,0,18400000,748000,0
Health Care,2012700,operating,USA,1,0,2012700,0,0
Biotechnology,4350000,operating,USA,2,750000,3600000,0,0
Biotechnology,39610000,operating,USA,3,0,39610000,0,0
Biotechnology,2250180,operating,USA,1,2250180,0,0,0
Health Care,1500000,operating,USA,1,1500000,0,0,0
Health Care,583000000,operating,USA,4,0,33000000,0,550000000
Health Care,9000000,operating,USA,2,0,9000000,0,0
Curated Web,6467283,operating,USA,1,0,6467283,0,0
Health Care,8140565,operating,GBR,2,0,8140565,0,0
Biotechnology,25930577,operating,USA,5,5000,14875077,0,0
Health and Wellness,500000,operating,USA,1,0,0,0,0
Hardware + Software,12005448,operating,USA,5,0,12005448,0,0
Software,1273000,operating,USA,1,0,1273000,0,0
Biotechnology,12000000,operating,,1,0,12000000,0,0
Biotechnology,98329011,operating,BEL,3,0,0,0,0
Enterprise Software,1000000,operating,USA,1,1000000,0,0,0
Curated Web,4139407,operating,USA,5,145400,3594003,0,0
Curated Web,7618249,operating,USA,3,0,7618249,0,0
Software,2100000,operating,USA,1,0,2100000,0,0
Software,450000,operating,USA,1,0,450000,0,0
Health and Wellness,960000,operating,USA,3,0,960000,0,0
Education,422000000,operating,BRA,1,0,0,0,422000000
Education,50000,operating,USA,1,50000,0,0,0
Health Care,132500,operating,USA,1,0,132500,0,0
Software,2757346,operating,USA,3,0,1257346,0,0
Clean Technology,4250000,operating,USA,2,0,4250000,0,0
Clean Technology,661000,operating,SWE,1,0,661000,0,0
Analytics,20000000,operating,USA,1,0,20000000,0,0
Health and Wellness,1287963,operating,GBR,1,0,0,0,0
Software,200000,operating,USA,1,200000,0,0,0
Biotechnology,1200000,operating,USA,1,0,1200000,0,0
Biotechnology,1287963,operating,GBR,1,1287963,0,0,0
Health Care,28364818,operating,USA,10,0,25013808,0,0
Finance,4545754,operating,GBR,1,0,0,0,0
Software,1300000,operating,DEU,1,1300000,0,0,0
Biotechnology,34300806,operating,GBR,1,0,0,0,0
Biotechnology,22009460,operating,CHE,1,0,22009460,0,0
Web Hosting,23000000,operating,USA,2,0,20000000,0,0
Software,762000,operating,USA,1,762000,0,0,0
Health and Wellness,2338650,operating,USA,1,0,2338650,0,0
Biotechnology,33500000,operating,GBR,2,0,33500000,0,0
Finance,244600000,operating,USA,2,0,19600000,0,225000000
Semiconductors,368000,operating,PRT,1,0,368000,0,0
Social Media,17800000,operating,USA,4,600000,15600000,0,0
Advertising,10000000,operating,USA,1,0,10000000,0,0
Social Media,50000,operating,,1,50000,0,0,0
Health Care,101385000,operating,USA,2,0,15000000,0,86385000
Finance,4000000,operating,USA,1,0,4000000,0,0
Clean Technology,16424363,operating,GBR,3,0,16424363,0,0
Health Care,4710960,operating,DNK,1,4710960,0,0,0
Biotechnology,770416,operating,CHN,3,0,770416,0,0
E-Commerce,25478613,operating,USA,1,0,25478613,0,0
Mobile,31040000,operating,CAN,3,0,31040000,0,0
Software,50000000,operating,USA,2,0,50000000,0,0
Biotechnology,430000,operating,USA,1,0,0,0,0
Health and Wellness,200000000,,USA,1,0,0,0,0
Mobile,150000,operating,USA,1,0,150000,0,0
Software,3255325,operating,USA,2,0,3255325,0,0
Health Care,150000,closed,USA,1,150000,0,0,0
Analytics,8500000,operating,USA,2,0,8500000,0,0
Social Media,50000,operating,,1,50000,0,0,0
Enterprise Software,4045500,operating,USA,3,0,1045500,0,0
Biotechnology,113701127,operating,USA,6,0,112201127,0,0
Finance,457282,closed,USA,7,18000,150000,0,0
Software,5705841,operating,USA,3,0,4605841,0,0
Enterprise Software,13410901,operating,USA,2,1410901,12000000,0,0
Software,225000,,USA,1,0,225000,0,0
Software,1560000,operating,,1,0,0,0,0
Health and Wellness,4000000,operating,USA,1,0,0,0,4000000
Semiconductors,20209960,operating,BRA,2,0,20209960,0,0
Health and Wellness,775000,operating,USA,2,0,775000,0,0
Curated Web,2000000,operating,IND,1,0,0,0,0
Software,1500000,acquired,USA,1,0,0,0,0
Software,3020000,operating,USA,3,20000,3000000,0,0
Biotechnology,138581610,operating,USA,5,0,59500000,0,79081610
Security,7131124,acquired,USA,3,0,7131124,0,0
Health Care,13793098,acquired,USA,3,0,13793098,0,0
Security,30000000,operating,USA,1,0,30000000,0,0
Health Care,46900000,operating,USA,1,0,0,0,46900000
Mobile,352500,operating,USA,2,240000,112500,0,0
Advertising,3200000,operating,USA,2,0,1700000,0,0
Biotechnology,15581502,,USA,2,0,15581502,0,0
Biotechnology,250000,operating,USA,1,0,250000,0,0
Health Care,21376001,acquired,USA,6,0,20626001,0,0
Finance,80157014,operating,GBR,1,0,0,0,80157014
Biotechnology,12000000,operating,USA,1,0,12000000,0,0
Enterprise Software,45000000,operating,USA,2,0,0,0,20000000
Analytics,4979639,operating,USA,4,0,4078719,0,0
Hardware + Software,10000000,operating,USA,1,0,10000000,0,0
Semiconductors,33331814,operating,USA,3,0,33331814,0,0
Biotechnology,1200000,operating,USA,1,0,1200000,0,0
Finance,34072000,operating,USA,4,0,34072000,0,0
Education,150000,operating,USA,2,150000,0,0,0
Enterprise Software,32000000,operating,USA,2,0,32000000,0,0
Software,3315000,operating,USA,1,0,3315000,0,0
Biotechnology,1000000,operating,USA,1,1000000,0,0,0
Biotechnology,12024769,operating,USA,3,0,12024769,0,0
Software,650000,operating,USA,1,0,650000,0,0
Health and Wellness,760000,operating,USA,1,760000,0,0,0
Biotechnology,110640466,acquired,USA,9,0,74150000,0,6000001
Software,8033458,operating,GBR,1,0,8033458,0,0
Health Care,6321095,operating,GBR,1,0,6321095,0,0
Mobile,1000000,operating,,2,0,1000000,0,0
Software,4277507,operating,USA,2,1894000,2383507,0,0
Software,2100000,operating,USA,1,0,2100000,0,0
Biotechnology,32655000,operating,USA,8,0,32655000,0,0
Hardware + Software,329695,operating,GBR,1,0,0,0,0
Hardware + Software,200000,operating,USA,1,0,0,0,0
Security,8198838,acquired,USA,4,0,8198838,0,0
Hardware + Software,30500000,operating,USA,2,0,22500000,0,0
Advertising,18700000,operating,USA,5,0,18700000,0,0
Health and Wellness,8700000,operating,USA,1,0,8700000,0,0
Health Care,93654902,operating,USA,5,0,14814106,0,10000002
Security,2090000,closed,USA,1,0,2090000,0,0
Health Care,600000,operating,USA,1,600000,0,0,0
Semiconductors,4880000,closed,CAN,1,0,4880000,0,0
Finance,737630,operating,USA,2,0,0,0,0
Software,3638201,operating,USA,1,0,3638201,0,0
Health Care,41250,operating,,1,41250,0,0,0
Semiconductors,4294788,operating,CHN,1,0,4294788,0,0
Biotechnology,151250000,operating,USA,6,0,36250000,0,115000000
Enterprise Software,5280000,acquired,USA,1,0,5280000,0,0
Advertising,30000,operating,BRA,1,30000,0,0,0
Health Care,100905707,operating,USA,3,0,82000000,0,18905707
Clean Technology,66500000,operating,USA,3,0,66500000,0,0
Finance,5000000,operating,USA,1,0,5000000,0,0
Biotechnology,3170442,operating,USA,1,0,3170442,0,0
Software,150000,operating,USA,1,0,150000,0,0
Software,9000000,operating,USA,1,0,9000000,0,0
Enterprise Software,3600000,operating,USA,3,1500000,1500000,0,0
Enterprise Software,24000000,operating,USA,1,0,24000000,0,0
Enterprise Software,2500000,operating,GBR,1,0,2500000,0,0
Health Care,50100000,operating,USA,1,0,50100000,0,0
Semiconductors,135776263,operating,USA,5,0,132242436,0,0
Biotechnology,9599860,,USA,2,0,8000000,0,0
Mobile,100000000,operating,IND,1,0,0,0,100000000
Biotechnology,42000000,operating,USA,2,0,42000000,0,0
E-Commerce,13800000,operating,THA,2,0,13800000,0,0
Hardware + Software,1998000,operating,DNK,3,0,1998000,0,0
Software,85000000,operating,,1,0,0,0,85000000
Software,592000,operating,GBR,1,0,592000,0,0
Software,20000000,acquired,USA,1,0,20000000,0,0
Analytics,20000,operating,USA,1,20000,0,0,0
Advertising,43000000,operating,CHN,2,0,43000000,0,0
Clean Technology,976865,operating,GBR,1,0,0,0,976865
Software,7974296,acquired,USA,1,0,7974296,0,0
Clean Technology,15000000,operating,USA,4,0,15000000,0,0
Curated Web,40000,acquired,USA,1,40000,0,0,0
Enterprise Software,118500000,operating,USA,7,0,118500000,0,0
Health and Wellness,130000,operating,,1,130000,0,0,0
Finance,20000000,operating,USA,1,0,20000000,0,0
Finance,20292075,operating,USA,1,0,20292075,0,0
Games,12500,operating,,1,12500,0,0,0
E-Commerce,12879637,operating,GBR,1,0,12879637,0,0
Biotechnology,3162000,operating,USA,2,0,3162000,0,0
Enterprise Software,150000,operating,COL,1,0,0,0,0
Software,495440,operating,,1,495440,0,0,0
Enterprise Software,6000000,operating,USA,1,0,6000000,0,0
Biotechnology,26980000,operating,USA,6,0,24980000,0,0
Clean Technology,9800000,acquired,USA,3,1000000,5800000,0,0
Clean Technology,22123893,operating,USA,1,0,22123893,0,0
Software,15600000,operating,USA,1,0,15600000,0,0
Enterprise Software,207500000,operating,USA,5,0,207500000,0,0
Software,3759300,operating,FRA,1,0,3759300,0,0
Biotechnology,15600000,acquired,USA,2,0,15600000,0,0
Software,24000000,acquired,,3,0,24000000,0,0
Biotechnology,7000720,operating,USA,2,0,6636720,0,0
Biotechnology,600000,operating,USA,2,0,600000,0,0
Mobile,58200000,acquired,USA,5,0,58200000,0,0
Biotechnology,6300000,operating,,1,0,6300000,0,0
Software,10150000,operating,USA,2,0,10150000,0,0
Advertising,1000000,operating,DEU,1,0,1000000,0,0
Advertising,400000,operating,ISR,1,0,400000,0,0
Software,1510005,operating,USA,1,0,1510005,0,0
Enterprise Software,1604278,operating,CHN,1,0,1604278,0,0
Finance,250000,operating,CAN,1,0,0,250000,0
Mobile,6000000,operating,USA,2,0,6000000,0,0
Software,25000000,operating,USA,1,0,25000000,0,0
Software,40000,operating,USA,1,0,0,0,0
Software,2310008,operating,GBR,2,2310008,0,0,0
Biotechnology,22585000,acquired,DEU,2,0,22585000,0,0
Health Care,950000,operating,USA,2,950000,0,0,0
Health Care,16000000,operating,USA,3,0,16000000,0,0
Biotechnology,40000,operating,USA,1,0,40000,0,0
Games,705000,operating,USA,2,705000,0,0,0
Software,13360000,,FRA,2,0,13360000,0,0
Software,1120000,operating,NOR,1,0,1120000,0,0
Enterprise Software,22500000,operating,USA,5,0,22500000,0,0
Biotechnology,99717506,operating,USA,11,0,84117507,0,4999999
Advertising,35000000,operating,USA,1,0,0,0,0
E-Commerce,1300000,operating,USA,1,0,1300000,0,0
Biotechnology,925000,operating,USA,3,0,775000,0,0
Advertising,11500000,operating,CHN,2,0,11500000,0,0
Software,7823112,operating,USA,1,0,7823112,0,0
Software,214208700,acquired,USA,10,0,66208700,0,145000000
Software,28000,operating,USA,1,28000,0,0,0
Enterprise Software,16400000,closed,USA,4,0,15000000,0,0
Semiconductors,6000000,operating,USA,1,0,0,0,0
Education,899955,operating,USA,1,899955,0,0,0
Health and Wellness,600000,operating,USA,1,0,600000,0,0
Finance,13250001,operating,USA,2,0,10000000,0,3250001
Mobile,490000,operating,LTU,3,140000,350000,0,0
Enterprise Software,5422959,acquired,USA,1,0,5422959,0,0
Health Care,10000000,operating,ISR,2,0,10000000,0,0
Biotechnology,805000,acquired,GBR,1,0,805000,0,0
Education,2200000,operating,USA,2,0,2200000,0,0
Enterprise Software,3470000,operating,,1,0,3470000,0,0
Mobile,4275852,operating,SWE,2,0,0,0,0
Biotechnology,36700005,acquired,USA,4,0,36700005,0,0
Social Media,3000000,operating,SGP,2,0,3000000,0,0
Software,6061005,operating,GBR,1,0,0,0,0
Health Care,550000,operating,USA,2,400000,0,0,0
Hardware + Software,150000,operating,USA,1,0,150000,0,0
Software,242500,operating,USA,1,0,0,0,0
Biotechnology,2670394,operating,USA,2,1920391,750003,0,0
Manufacturing,45400000,operating,BRA,1,0,45400000,0,0
Biotechnology,439603,operating,USA,1,0,439603,0,0
Health Care,86000000,operating,USA,2,0,86000000,0,0
Health Care,1067275,operating,GBR,2,0,0,0,0
Health Care,1500321,operating,USA,1,0,1500321,0,0
E-Commerce,93000000,operating,USA,3,0,10000000,0,83000000
Biotechnology,2200000,operating,USA,2,700000,1500000,0,0
Manufacturing,18100000,operating,USA,2,0,18100000,0,0
Software,10563501,operating,GBR,3,1317075,3415207,0,0
Health Care,6000000,operating,USA,3,0,6000000,0,0
Biotechnology,10300000,operating,USA,2,0,0,0,0
Biotechnology,10000000,operating,USA,2,0,7500000,0,0
Health Care,2000000,operating,USA,1,2000000,0,0,0
Biotechnology,63176464,operating,USA,5,0,60676464,0,0
Biotechnology,6400000,operating,USA,2,0,6400000,0,0
Mobile,2000000,operating,USA,2,0,2000000,0,0
Mobile,17600000,acquired,USA,3,600000,17000000,0,0
Advertising,4549999,operating,USA,2,0,3049999,0,0
Software,175000,operating,USA,2,0,0,75000,0
Advertising,99234,operating,GBR,1,99234,0,0,0
Health Care,6637111,operating,USA,2,2500001,4137110,0,0
Security,19500000,operating,USA,2,0,19500000,0,0
Biotechnology,3010802,operating,AUS,1,0,3010802,0,0
Health Care,82000000,operating,USA,4,0,82000000,0,0
Biotechnology,16377078,operating,USA,5,0,8299920,0,0
Manufacturing,2700000,operating,USA,1,0,2700000,0,0
Enterprise Software,46168126,operating,GBR,1,0,46168126,0,0
Advertising,10000000,acquired,USA,1,0,10000000,0,0
Health Care,225000,operating,USA,2,0,225000,0,0
Mobile,5954000,operating,USA,3,0,5100000,0,0
Biotechnology,107500000,operating,GBR,2,0,104000000,0,0
Software,777729,operating,GBR,1,0,777729,0,0
Semiconductors,4000000,operating,USA,1,0,4000000,0,0
Advertising,10400000,operating,USA,2,0,5200000,0,0
Clean Technology,3750000,closed,USA,1,0,3750000,0,0
E-Commerce,7875598,operating,USA,2,0,7875598,0,0
Software,84500000,operating,USA,4,0,84500000,0,0
Biotechnology,1099000,operating,USA,1,0,1099000,0,0
